status_source_to_main	path	previous_path	domain	decision
D	fabushi/linux/flutter/generated_plugin_registrant.h		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/linux/flutter/generated_plugins.cmake		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/linux/runner/CMakeLists.txt		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/linux/runner/main.cc		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/linux/runner/my_application.cc		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/linux/runner/my_application.h		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/macos/.gitignore		retired-client	DEPRECATE
D	fabushi/macos/Flutter/Flutter-Debug.xcconfig		retired-client	DEPRECATE
D	fabushi/macos/Flutter/Flutter-Release.xcconfig		retired-client	DEPRECATE
D	fabushi/macos/Flutter/GeneratedPluginRegistrant.swift		retired-client	DEPRECATE
D	fabushi/macos/Podfile		retired-client	DEPRECATE
D	fabushi/macos/Podfile.lock		retired-client	DEPRECATE
D	fabushi/macos/Runner.xcodeproj/project.pbxproj		retired-client	DEPRECATE
D	fabushi/macos/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist		retired-client	DEPRECATE
D	fabushi/macos/Runner.xcodeproj/xcshareddata/xcschemes/Runner.xcscheme		retired-client	DEPRECATE
D	fabushi/macos/Runner.xcworkspace/contents.xcworkspacedata		retired-client	DEPRECATE
D	fabushi/macos/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist		retired-client	DEPRECATE
D	fabushi/macos/Runner/AppDelegate.swift		retired-client	DEPRECATE
D	fabushi/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json		retired-client	DEPRECATE
D	fabushi/macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_1024.png		retired-client	DEPRECATE
D	fabushi/macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_128.png		retired-client	DEPRECATE
D	fabushi/macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_16.png		retired-client	DEPRECATE
D	fabushi/macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_256.png		retired-client	DEPRECATE
D	fabushi/macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_32.png		retired-client	DEPRECATE
D	fabushi/macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_512.png		retired-client	DEPRECATE
D	fabushi/macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_64.png		retired-client	DEPRECATE
D	fabushi/macos/Runner/Base.lproj/MainMenu.xib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Configs/AppInfo.xcconfig		retired-client	DEPRECATE
D	fabushi/macos/Runner/Configs/Debug.xcconfig		retired-client	DEPRECATE
D	fabushi/macos/Runner/Configs/Release.xcconfig		retired-client	DEPRECATE
D	fabushi/macos/Runner/Configs/Warnings.xcconfig		retired-client	DEPRECATE
D	fabushi/macos/Runner/DebugProfile.entitlements		retired-client	DEPRECATE
D	fabushi/macos/Runner/DesktopControlPlugin.swift		retired-client	DEPRECATE
D	fabushi/macos/Runner/GoogleService-Info.plist		retired-client	DEPRECATE
D	fabushi/macos/Runner/Info.plist		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/ggml-metal.metal		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml-base.0.9.5.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml-base.0.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml-base.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml-blas.0.9.5.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml-blas.0.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml-blas.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml-cpu.0.9.5.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml-cpu.0.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml-cpu.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml-metal.0.9.5.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml-metal.0.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml-metal.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml.0.9.5.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml.0.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libggml.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libllama.0.0.1.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libllama.0.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/Libs/libllama.dylib		retired-client	DEPRECATE
D	fabushi/macos/Runner/MainFlutterWindow.swift		retired-client	DEPRECATE
D	fabushi/macos/Runner/Release.entitlements		retired-client	DEPRECATE
D	fabushi/macos/Runner/SemanticNlpPlugin.swift		retired-client	DEPRECATE
D	fabushi/macos/Runner/SpeechRecognizerPlugin.swift		offline-asr	SOURCE_BETTER_REVIEW
D	fabushi/macos/RunnerTests/RunnerTests.swift		retired-client	DEPRECATE
D	fabushi/macos/RunnerUITests/DebugProfile.entitlements		retired-client	DEPRECATE
D	fabushi/macos/RunnerUITests/RunnerUITests.m		retired-client	DEPRECATE
D	fabushi/macos/build_telegram_runtime.sh		retired-client	DEPRECATE
D	fabushi/macos/copy_llama_libs.sh		retired-client	DEPRECATE
D	fabushi/native_libs/llama.cpp		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/pubspec.lock		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/pubspec.yaml		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/pubspec_optimized.yaml		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/rust/.gitignore		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/rust/Cargo.lock		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/rust/Cargo.toml		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/rust/src/lib.rs		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/screen_capture.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/scripts/README.md		documentation	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/activate_admin_membership.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/append_eula.js		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/apply_performance_optimization.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/auto_create_firebase.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/build_optimized_web.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/build_web_exclude_models.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/check-jwt-config.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/clean_rebuild.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/clear-auth-cache.sh		identity-auth	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/deploy_alipay_d1_fix.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/deploy_alipay_fix.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/deploy_builtin_search.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/deploy_membership_fix.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/deploy_websocket.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/extract_dom.js		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/fix-alipay-login.sh		identity-auth	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/fix_ios_build.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/fix_login.py		identity-auth	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/generate_char_list.py		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/migrate_builtin_to_d1.py		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/quick_run.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/quick_start.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/refactor_project.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/test_asset_download.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/test_builtin_migration.py		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/test_guest_mode.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/test_membership_history.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/test_search_api.py		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/test_simple_migration.py		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/test_ui_responsiveness.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/test_websocket.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/update-asset-manifest.js		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/update_admin_membership.sql		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/update_firebase_config.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/archive/verify_shared_assets.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/build_android_arm64.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/common_chars.txt		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/deploy/clear-cache-deploy.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/deploy/clear-cloudflare-cache.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/deploy/deploy-assets-to-cloudflare.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/deploy/deploy-backend-only.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/deploy/deploy-complete.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/deploy/deploy-fix.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/deploy/deploy-frontend-worker.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/deploy/force-clear-cache.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/deploy/force-deploy.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/fix_desktop_generated_plugins.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/fix_linux_generated_plugins.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/generate_font_subset.py		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/rebuild_buddha_model.py		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/setup/add_firebase_apps.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/setup/add_firebase_apps_manual.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/setup/create_firebase_project_complete.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/setup/create_new_firebase_project.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/setup/setup_firebase.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/setup/setup_firebase_cli.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/setup/update_google_signin_config.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/clean-manifest.js		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/clean_build.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/fix_and_run.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/fix_assets.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/fix_bundle_id.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/fix_video_feed_imports.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/generate-asset-manifest.js		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/optimize_assets.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/run_app.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/run_web.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/sync_video_feed.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/test-leaderboard.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/test_earth_globe.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/test_earth_globe_quick.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/scripts/utils/test_ios.sh		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/tauri-e2e/package.json		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/tauri-e2e/test/specs/packaged-app.e2e.mjs		tests	SOURCE_BETTER_REVIEW
D	fabushi/tauri-e2e/wdio.conf.mjs		repository-other	SOURCE_BETTER_REVIEW
D	"""fabushi/temp_models/\344\275\233\345\203\217\346\250\241\345\236\213.glb"""		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/.gitattributes		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/.gitignore		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/.metadata		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/CLAUDE.md		documentation	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/LICENSE		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/Makefile		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/PROJECT_STATUS.md		documentation	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/README.md		documentation	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/analysis_options.yaml		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/.gitignore		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/build.gradle.kts		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/debug/AndroidManifest.xml		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/main/AndroidManifest.xml		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/main/kotlin/com/example/flutter_video_feed/MainActivity.kt		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/main/res/drawable-v21/launch_background.xml		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/main/res/drawable/launch_background.xml		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/main/res/mipmap-hdpi/ic_launcher.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/main/res/mipmap-mdpi/ic_launcher.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/main/res/mipmap-xhdpi/ic_launcher.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/main/res/values-night/styles.xml		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/main/res/values/styles.xml		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/app/src/profile/AndroidManifest.xml		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/build.gradle.kts		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/gradle.properties		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/gradle/wrapper/gradle-wrapper.properties		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/android/settings.gradle.kts		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/.gitignore		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Flutter/AppFrameworkInfo.plist		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Flutter/Debug.xcconfig		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Flutter/Release.xcconfig		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Podfile		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner.xcodeproj/project.xcworkspace/contents.xcworkspacedata		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner.xcodeproj/xcshareddata/xcschemes/Runner.xcscheme		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner.xcworkspace/contents.xcworkspacedata		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/AppDelegate.swift		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-1024x1024@1x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@1x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@2x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@3x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@1x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@2x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@3x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@1x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@2x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@3x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@2x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@3x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-76x76@1x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-76x76@2x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-83.5x83.5@2x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json		repository-other	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@2x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@3x.png		asset	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md		documentation	SOURCE_BETTER_REVIEW
D	fabushi/temp_video_feed/ios/Runner/Base.lproj/LaunchScreen.storyboard		repository-other	SOURCE_BETTER_REVIEW
