mode	type	object	size	path	domain	decision	reason
100644	blob	e641f5e4fbb84d799cca65a3db57b8d0261f7a13	342	.gitattributes	repository-support	LEARN	inspect architecture and tests; no verbatim source import
100644	blob	83fa05cf99612b1223d2bff5d37735532767f64b	643	.github/workflows/check.yml	ci	LEARN	inspect architecture and tests; no verbatim source import
100644	blob	f68c73bb21544ffc41f1ecd7ea1b7ddfed05181e	510	.gitignore	repository-support	LEARN	inspect architecture and tests; no verbatim source import
100644	blob	3eb1386fcc084ec86ac8d453d7e77fccc10d1fb0	7	.node-version	repository-support	LEARN	inspect architecture and tests; no verbatim source import
100644	blob	0401ce653e392b04f63328ab11f67d9ffec0c8fc	632	CONTRIBUTING.md	documentation	LEARN	inspect architecture and tests; no verbatim source import
100644	blob	dd646865110b68522709d8de7d5094cf2af6c78e	795	NOTICE.md	documentation	LEARN	inspect architecture and tests; no verbatim source import
100644	blob	849b4501b9825a111a2aaa6ac478f9f62ed4ab74	2654	PROVENANCE.md	documentation	LEARN	inspect architecture and tests; no verbatim source import
100644	blob	e3eff1cab35077ad446da52b336d17878ce64e9f	9524	README.md	documentation	LEARN	inspect architecture and tests; no verbatim source import
100644	blob	48cbe54043e03b32108bceeac7584010226e30fe	905	SECURITY.md	documentation	LEARN	inspect architecture and tests; no verbatim source import
100644	blob	d489b46a013fa255919d8109c1f3c88b04cc1c1a	800	docs/ARCHITECTURE.md	documentation	LEARN	inspect architecture and tests; no verbatim source import
100644	blob	c00a06228552268c31f76efcfe27e5dc4b9e0eec	1797	docs/PUBLISHING.md	documentation	LEARN	inspect architecture and tests; no verbatim source import
100644	blob	2bdf21fdfe595c22d860c1af1bb8e14641788d8f	703948	docs/assets/router-settings.png	documentation	LEARN	inspect architecture and tests; no verbatim source import
100644	blob	9f79b78ae0823bf753a8e967716fdfa656b4083c	863	frontend/README.md	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	aae734455efe5e3175d4caa911b8241936cbaa75	643	frontend/index.html	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	e80d8237b59cb27f4e4f0fa174cc946185db58c7	2028	frontend/manifests/component-names.json	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	5c42c82ce7ecb86a0817f661853e170913548bf6	5909	frontend/manifests/computer-shell-evidence.json	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	485bf51ee3a7f85649614ee840b70b84ee6d6551	1409	frontend/manifests/conversation-evidence.json	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	0db5152b63de740fdc5756a13fd20a6940a0232c	14550	frontend/manifests/mermaid-immutable-fingerprints.json	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	9d3e26c44f1e3f1c5f15bac00128e2b5cd4b54b0	31071	frontend/manifests/mermaid-public-candidate-lock.json	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	13e1cdd19b8259317ff456200db37377c73139c8	8515	frontend/manifests/mermaid-public-package-closure.json	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	870ae62c903d79123da2e4e25735c93bd262b249	3342	frontend/manifests/renderer-bootstrap.json	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	d6940f79a37e43735dbf15dc917bfb84c795a23a	3282	frontend/manifests/renderer-runtime-assets.json	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	39dc04ed8a2a3404d5a8fcb92ff31a10acc238e1	6639	frontend/manifests/semantic-symbols.json	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	8c0721ae930be9f0623f278f5b64c247277f63e8	24780	frontend/manifests/ui-evidence-anchors.json	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	e90b7636fb0c7a051bd431a1162f01bf2c69cf11	15360	frontend/src/dev/DevShell.tsx	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
100644	blob	50ad8c4a053edaabf36a2338adb666b6aed0b9fb	3317	frontend/src/dev/dev-shell.css	renderer-reconstruction	CLEAN_ROOM_SPEC	behavior/API reference only; independently implement in Fabushi-owned boundaries
